From (pre-synaptic type),To (post-synaptic type)
SUB EC-Projecting Pyramidal,SUB EC-Projecting Pyramidal
SUB EC-Projecting Pyramidal,SUB CA1-Projecting Pyramidal
SUB EC-Projecting Pyramidal,SUB Axo-axonic
SUB EC-Projecting Pyramidal,LEC LIII Multipolar Principal
SUB EC-Projecting Pyramidal,MEC LIII Multipolar Principal
SUB EC-Projecting Pyramidal,LEC LIII Complex Pyramidal
SUB EC-Projecting Pyramidal,MEC LIII Complex Pyramidal
SUB EC-Projecting Pyramidal,LIII Pyramidal-Stellate
SUB EC-Projecting Pyramidal,LIII-V Bipolar Pyramidal
SUB EC-Projecting Pyramidal,LIV-V Pyramidal-Horizontal
SUB EC-Projecting Pyramidal,LIV-VI Deep Multipolar Principal
SUB EC-Projecting Pyramidal,MEC LV Multipolar-Pyramidal
SUB EC-Projecting Pyramidal,LV Deep Pyramidal
SUB EC-Projecting Pyramidal,MEC LV Pyramidal
SUB EC-Projecting Pyramidal,MEC LV Superficial Pyramidal
SUB EC-Projecting Pyramidal,MEC LV-VI Pyramidal-Polymorphic
SUB EC-Projecting Pyramidal,LEC LVI Multipolar-Pyramidal
SUB EC-Projecting Pyramidal,MEC LIII Multipolar Interneuron
SUB EC-Projecting Pyramidal,LIII Pyramidal-Looking Interneuron
SUB CA1-Projecting Pyramidal,CA2 Wide-Arbor Basket
SUB CA1-Projecting Pyramidal,CA1 Pyramidal
SUB CA1-Projecting Pyramidal,Cajal-Retzius
SUB CA1-Projecting Pyramidal,CA1 Radiatum Giant
SUB CA1-Projecting Pyramidal,CA1 Axo-axonic
SUB CA1-Projecting Pyramidal,CA1 Back-Projection
SUB CA1-Projecting Pyramidal,CA1 Basket
SUB CA1-Projecting Pyramidal,CA1 Basket CCK+
SUB CA1-Projecting Pyramidal,CA1 Bistratified
SUB CA1-Projecting Pyramidal,CA1 Interneuron Specific LMO-O
SUB CA1-Projecting Pyramidal,CA1 Interneuron Specific LM-R
SUB CA1-Projecting Pyramidal,CA1 Interneuron Specific LMR-R
SUB CA1-Projecting Pyramidal,CA1 Interneuron Specific O-Targeting QuadD
SUB CA1-Projecting Pyramidal,CA1 Interneuron Specific R-O
SUB CA1-Projecting Pyramidal,CA1 Interneuron Specific RO-O
SUB CA1-Projecting Pyramidal,CA1 Ivy
SUB CA1-Projecting Pyramidal,CA1 LMR
SUB CA1-Projecting Pyramidal,CA1 LMR Projecting
SUB CA1-Projecting Pyramidal,CA1 Neurogliaform
SUB CA1-Projecting Pyramidal,CA1 Neurogliaform Projecting
SUB CA1-Projecting Pyramidal,CA1 Oriens/Alveus
SUB CA1-Projecting Pyramidal,CA1 OR-LM
SUB CA1-Projecting Pyramidal,CA1 Perforant Path-Associated
SUB CA1-Projecting Pyramidal,CA1 Perforant Path-Associated QuadD
SUB CA1-Projecting Pyramidal,CA1 Quadrilaminar
SUB CA1-Projecting Pyramidal,CA1 Radiatum
SUB CA1-Projecting Pyramidal,CA1 R-Receiving Apical-Targeting
SUB CA1-Projecting Pyramidal,Schaffer Collateral-Associated
SUB CA1-Projecting Pyramidal,Schaffer Collateral-Receiving R-Targeting
SUB CA1-Projecting Pyramidal,CA1 Hippocampo-subicular Projecting ENK+
SUB CA1-Projecting Pyramidal,CA1 Radial Trilaminar
SUB CA1-Projecting Pyramidal,SUB EC-Projecting Pyramidal
SUB CA1-Projecting Pyramidal,SUB CA1-Projecting Pyramidal
SUB CA1-Projecting Pyramidal,SUB Axo-axonic
SUB Axo-axonic,SUB EC-Projecting Pyramidal
SUB Axo-axonic,SUB CA1-Projecting Pyramidal
LI-II Multipolar-Pyramidal,LI-II Multipolar-Pyramidal
LI-II Multipolar-Pyramidal,LI-II Pyramidal-Fan
LI-II Multipolar-Pyramidal,MEC LII-III Pyramidal-Multiform
LI-II Multipolar-Pyramidal,MEC LII Oblique Pyramidal
LI-II Multipolar-Pyramidal,MEC LII Stellate
LI-II Multipolar-Pyramidal,LII-III Pyramidal-Tripolar
LI-II Multipolar-Pyramidal,LEC LIII Multipolar Principal
LI-II Multipolar-Pyramidal,MEC LIII Multipolar Principal
LI-II Multipolar-Pyramidal,LIII Pyramidal
LI-II Multipolar-Pyramidal,LEC LIII Complex Pyramidal
LI-II Multipolar-Pyramidal,MEC LIII Complex Pyramidal
LI-II Multipolar-Pyramidal,MEC LIII Bipolar Complex Pyramidal
LI-II Multipolar-Pyramidal,LIII Pyramidal-Stellate
LI-II Multipolar-Pyramidal,LIII Stellate
LI-II Multipolar-Pyramidal,LIII-V Bipolar Pyramidal
LI-II Multipolar-Pyramidal,LIV-V Pyramidal-Horizontal
LI-II Multipolar-Pyramidal,LV Deep Pyramidal
LI-II Multipolar-Pyramidal,MEC LV Pyramidal
LI-II Multipolar-Pyramidal,MEC LV Superficial Pyramidal
LI-II Multipolar-Pyramidal,LII Axo-axonic
LI-II Multipolar-Pyramidal,MEC LII Basket
LI-II Multipolar-Pyramidal,LII Basket-Multipolar Interneuron
LI-II Multipolar-Pyramidal,LEC LIII Multipolar Interneuron
LI-II Multipolar-Pyramidal,MEC LIII Multipolar Interneuron
LI-II Multipolar-Pyramidal,MEC LIII Superficial Multipolar Interneuron
LI-II Multipolar-Pyramidal,LIII Pyramidal-Looking Interneuron
LI-II Multipolar-Pyramidal,MEC LIII Superficial Trilayered Interneuron
LI-II Pyramidal-Fan,Granule
LI-II Pyramidal-Fan,Hilar Ectopic Granule
LI-II Pyramidal-Fan,Semilunar Granule
LI-II Pyramidal-Fan,Mossy MOLDEN
LI-II Pyramidal-Fan,AIPRIM
LI-II Pyramidal-Fan,DG Axo-axonic
LI-II Pyramidal-Fan,DG Basket
LI-II Pyramidal-Fan,DG Basket CCK+
LI-II Pyramidal-Fan,HICAP
LI-II Pyramidal-Fan,MOLAX
LI-II Pyramidal-Fan,MOPP
LI-II Pyramidal-Fan,DG Neurogliaform
LI-II Pyramidal-Fan,Outer Molecular Layer
LI-II Pyramidal-Fan,Total Molecular Layer
LI-II Pyramidal-Fan,CA1 Neurogliaform Projecting
LI-II Pyramidal-Fan,SUB EC-Projecting Pyramidal
LI-II Pyramidal-Fan,SUB CA1-Projecting Pyramidal
LI-II Pyramidal-Fan,SUB Axo-axonic
LI-II Pyramidal-Fan,LI-II Multipolar-Pyramidal
LI-II Pyramidal-Fan,LI-II Pyramidal-Fan
LI-II Pyramidal-Fan,MEC LII-III Pyramidal-Multiform
LI-II Pyramidal-Fan,MEC LII Oblique Pyramidal
LI-II Pyramidal-Fan,MEC LII Stellate
LI-II Pyramidal-Fan,LII-III Pyramidal-Tripolar
LI-II Pyramidal-Fan,LEC LIII Multipolar Principal
LI-II Pyramidal-Fan,MEC LIII Multipolar Principal
LI-II Pyramidal-Fan,LIII Pyramidal
LI-II Pyramidal-Fan,LEC LIII Complex Pyramidal
LI-II Pyramidal-Fan,MEC LIII Complex Pyramidal
LI-II Pyramidal-Fan,MEC LIII Bipolar Complex Pyramidal
LI-II Pyramidal-Fan,LIII Pyramidal-Stellate
LI-II Pyramidal-Fan,LIII Stellate
LI-II Pyramidal-Fan,LIII-V Bipolar Pyramidal
LI-II Pyramidal-Fan,LIV-V Pyramidal-Horizontal
LI-II Pyramidal-Fan,LV Deep Pyramidal
LI-II Pyramidal-Fan,MEC LV Pyramidal
LI-II Pyramidal-Fan,MEC LV Superficial Pyramidal
LI-II Pyramidal-Fan,LII Axo-axonic
LI-II Pyramidal-Fan,MEC LII Basket
LI-II Pyramidal-Fan,LII Basket-Multipolar Interneuron
LI-II Pyramidal-Fan,LEC LIII Multipolar Interneuron
LI-II Pyramidal-Fan,MEC LIII Multipolar Interneuron
LI-II Pyramidal-Fan,MEC LIII Superficial Multipolar Interneuron
LI-II Pyramidal-Fan,LIII Pyramidal-Looking Interneuron
LI-II Pyramidal-Fan,MEC LIII Superficial Trilayered Interneuron
MEC LII-III Pyramidal-Multiform,LI-II Multipolar-Pyramidal
MEC LII-III Pyramidal-Multiform,LI-II Pyramidal-Fan
MEC LII-III Pyramidal-Multiform,MEC LII-III Pyramidal-Multiform
MEC LII-III Pyramidal-Multiform,MEC LII Oblique Pyramidal
MEC LII-III Pyramidal-Multiform,MEC LII Stellate
MEC LII-III Pyramidal-Multiform,LII-III Pyramidal-Tripolar
MEC LII-III Pyramidal-Multiform,MEC LIII Multipolar Principal
MEC LII-III Pyramidal-Multiform,LIII Pyramidal
MEC LII-III Pyramidal-Multiform,MEC LIII Complex Pyramidal
MEC LII-III Pyramidal-Multiform,MEC LIII Bipolar Complex Pyramidal
MEC LII-III Pyramidal-Multiform,LIII Pyramidal-Stellate
MEC LII-III Pyramidal-Multiform,LIII Stellate
MEC LII-III Pyramidal-Multiform,LIII-V Bipolar Pyramidal
MEC LII-III Pyramidal-Multiform,LIV-V Pyramidal-Horizontal
MEC LII-III Pyramidal-Multiform,LIV-VI Deep Multipolar Principal
MEC LII-III Pyramidal-Multiform,MEC LV Multipolar-Pyramidal
MEC LII-III Pyramidal-Multiform,LV Deep Pyramidal
MEC LII-III Pyramidal-Multiform,MEC LV Pyramidal
MEC LII-III Pyramidal-Multiform,MEC LV Superficial Pyramidal
MEC LII-III Pyramidal-Multiform,MEC LV-VI Pyramidal-Polymorphic
MEC LII-III Pyramidal-Multiform,LII Axo-axonic
MEC LII-III Pyramidal-Multiform,MEC LII Basket
MEC LII-III Pyramidal-Multiform,LII Basket-Multipolar Interneuron
MEC LII-III Pyramidal-Multiform,MEC LIII Multipolar Interneuron
MEC LII-III Pyramidal-Multiform,MEC LIII Superficial Multipolar Interneuron
MEC LII-III Pyramidal-Multiform,LIII Pyramidal-Looking Interneuron
MEC LII-III Pyramidal-Multiform,MEC LIII Superficial Trilayered Interneuron
MEC LII Oblique Pyramidal,MEC LII-III Pyramidal-Multiform
MEC LII Oblique Pyramidal,LII-III Pyramidal-Tripolar
MEC LII Oblique Pyramidal,MEC LIII Multipolar Principal
MEC LII Oblique Pyramidal,LIII Pyramidal
MEC LII Oblique Pyramidal,MEC LIII Complex Pyramidal
MEC LII Oblique Pyramidal,MEC LIII Bipolar Complex Pyramidal
MEC LII Oblique Pyramidal,LIII Pyramidal-Stellate
MEC LII Oblique Pyramidal,LIII Stellate
MEC LII Oblique Pyramidal,LIII-V Bipolar Pyramidal
MEC LII Oblique Pyramidal,LIV-V Pyramidal-Horizontal
MEC LII Oblique Pyramidal,LIV-VI Deep Multipolar Principal
MEC LII Oblique Pyramidal,MEC LV Multipolar-Pyramidal
MEC LII Oblique Pyramidal,MEC LV Superficial Pyramidal
MEC LII Oblique Pyramidal,MEC LIII Multipolar Interneuron
MEC LII Oblique Pyramidal,MEC LIII Superficial Multipolar Interneuron
MEC LII Oblique Pyramidal,LIII Pyramidal-Looking Interneuron
MEC LII Oblique Pyramidal,MEC LIII Superficial Trilayered Interneuron
MEC LII Stellate,Granule
MEC LII Stellate,Hilar Ectopic Granule
MEC LII Stellate,Semilunar Granule
MEC LII Stellate,Mossy MOLDEN
MEC LII Stellate,AIPRIM
MEC LII Stellate,DG Axo-axonic
MEC LII Stellate,DG Basket
MEC LII Stellate,DG Basket CCK+
MEC LII Stellate,HICAP
MEC LII Stellate,MOLAX
MEC LII Stellate,MOPP
MEC LII Stellate,DG Neurogliaform
MEC LII Stellate,Outer Molecular Layer
MEC LII Stellate,Total Molecular Layer
MEC LII Stellate,CA3 Pyramidal
MEC LII Stellate,CA3 Giant
MEC LII Stellate,CA3 Granule
MEC LII Stellate,CA3 Axo-axonic
MEC LII Stellate,CA3 Basket
MEC LII Stellate,CA3 Basket CCK+
MEC LII Stellate,CA3 LMR-Targeting
MEC LII Stellate,CA2 Pyramidal
MEC LII Stellate,CA2 Basket
MEC LII Stellate,CA2 Wide-Arbor Basket
MEC LII Stellate,CA1 Neurogliaform Projecting
MEC LII Stellate,SUB EC-Projecting Pyramidal
MEC LII Stellate,SUB CA1-Projecting Pyramidal
MEC LII Stellate,SUB Axo-axonic
MEC LII Stellate,LI-II Multipolar-Pyramidal
MEC LII Stellate,LI-II Pyramidal-Fan
MEC LII Stellate,MEC LII-III Pyramidal-Multiform
MEC LII Stellate,MEC LII Oblique Pyramidal
MEC LII Stellate,LII-III Pyramidal-Tripolar
MEC LII Stellate,MEC LIII Multipolar Principal
MEC LII Stellate,LIII Pyramidal
MEC LII Stellate,MEC LIII Complex Pyramidal
MEC LII Stellate,MEC LIII Bipolar Complex Pyramidal
MEC LII Stellate,LIII Pyramidal-Stellate
MEC LII Stellate,LIII Stellate
MEC LII Stellate,LIII-V Bipolar Pyramidal
MEC LII Stellate,LIV-V Pyramidal-Horizontal
MEC LII Stellate,LIV-VI Deep Multipolar Principal
MEC LII Stellate,MEC LV Multipolar-Pyramidal
MEC LII Stellate,LV Deep Pyramidal
MEC LII Stellate,MEC LV Pyramidal
MEC LII Stellate,MEC LV Superficial Pyramidal
MEC LII Stellate,MEC LV-VI Pyramidal-Polymorphic
MEC LII Stellate,LII Axo-axonic
MEC LII Stellate,MEC LII Basket
MEC LII Stellate,LII Basket-Multipolar Interneuron
MEC LII Stellate,MEC LIII Multipolar Interneuron
MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron
MEC LII Stellate,LIII Pyramidal-Looking Interneuron
MEC LII Stellate,MEC LIII Superficial Trilayered Interneuron
LII-III Pyramidal-Tripolar,Granule
LII-III Pyramidal-Tripolar,Hilar Ectopic Granule
LII-III Pyramidal-Tripolar,Semilunar Granule
LII-III Pyramidal-Tripolar,Mossy MOLDEN
LII-III Pyramidal-Tripolar,AIPRIM
LII-III Pyramidal-Tripolar,DG Axo-axonic
LII-III Pyramidal-Tripolar,DG Basket
LII-III Pyramidal-Tripolar,DG Basket CCK+
LII-III Pyramidal-Tripolar,HICAP
LII-III Pyramidal-Tripolar,MOLAX
LII-III Pyramidal-Tripolar,MOPP
LII-III Pyramidal-Tripolar,DG Neurogliaform
LII-III Pyramidal-Tripolar,Outer Molecular Layer
LII-III Pyramidal-Tripolar,Total Molecular Layer
LII-III Pyramidal-Tripolar,CA1 Neurogliaform Projecting
LII-III Pyramidal-Tripolar,SUB EC-Projecting Pyramidal
LII-III Pyramidal-Tripolar,SUB CA1-Projecting Pyramidal
LII-III Pyramidal-Tripolar,SUB Axo-axonic
LII-III Pyramidal-Tripolar,LI-II Multipolar-Pyramidal
LII-III Pyramidal-Tripolar,LI-II Pyramidal-Fan
LII-III Pyramidal-Tripolar,MEC LII-III Pyramidal-Multiform
LII-III Pyramidal-Tripolar,MEC LII Oblique Pyramidal
LII-III Pyramidal-Tripolar,MEC LII Stellate
LII-III Pyramidal-Tripolar,LII-III Pyramidal-Tripolar
LII-III Pyramidal-Tripolar,LEC LIII Multipolar Principal
LII-III Pyramidal-Tripolar,MEC LIII Multipolar Principal
LII-III Pyramidal-Tripolar,LIII Pyramidal
LII-III Pyramidal-Tripolar,LEC LIII Complex Pyramidal
LII-III Pyramidal-Tripolar,MEC LIII Complex Pyramidal
LII-III Pyramidal-Tripolar,MEC LIII Bipolar Complex Pyramidal
LII-III Pyramidal-Tripolar,LIII Pyramidal-Stellate
LII-III Pyramidal-Tripolar,LIII Stellate
LII-III Pyramidal-Tripolar,LIII-V Bipolar Pyramidal
LII-III Pyramidal-Tripolar,LIV-V Pyramidal-Horizontal
LII-III Pyramidal-Tripolar,LV Deep Pyramidal
LII-III Pyramidal-Tripolar,MEC LV Pyramidal
LII-III Pyramidal-Tripolar,MEC LV Superficial Pyramidal
LII-III Pyramidal-Tripolar,LII Axo-axonic
LII-III Pyramidal-Tripolar,MEC LII Basket
LII-III Pyramidal-Tripolar,LII Basket-Multipolar Interneuron
LII-III Pyramidal-Tripolar,LEC LIII Multipolar Interneuron
LII-III Pyramidal-Tripolar,MEC LIII Multipolar Interneuron
LII-III Pyramidal-Tripolar,MEC LIII Superficial Multipolar Interneuron
LII-III Pyramidal-Tripolar,LIII Pyramidal-Looking Interneuron
LII-III Pyramidal-Tripolar,MEC LIII Superficial Trilayered Interneuron
LEC LIII Multipolar Principal,LI-II Multipolar-Pyramidal
LEC LIII Multipolar Principal,LI-II Pyramidal-Fan
LEC LIII Multipolar Principal,LII-III Pyramidal-Tripolar
LEC LIII Multipolar Principal,LEC LIII Multipolar Principal
LEC LIII Multipolar Principal,LIII Pyramidal
LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal
LEC LIII Multipolar Principal,LIII Pyramidal-Stellate
LEC LIII Multipolar Principal,LIII Stellate
LEC LIII Multipolar Principal,LIII-V Bipolar Pyramidal
LEC LIII Multipolar Principal,LIV-V Pyramidal-Horizontal
LEC LIII Multipolar Principal,LIV-VI Deep Multipolar Principal
LEC LIII Multipolar Principal,LV Deep Pyramidal
LEC LIII Multipolar Principal,LEC LVI Multipolar-Pyramidal
LEC LIII Multipolar Principal,LII Axo-axonic
LEC LIII Multipolar Principal,LII Basket-Multipolar Interneuron
LEC LIII Multipolar Principal,LEC LIII Multipolar Interneuron
LEC LIII Multipolar Principal,LIII Pyramidal-Looking Interneuron
MEC LIII Multipolar Principal,MEC LII-III Pyramidal-Multiform
MEC LIII Multipolar Principal,LII-III Pyramidal-Tripolar
MEC LIII Multipolar Principal,MEC LIII Multipolar Principal
MEC LIII Multipolar Principal,LIII Pyramidal
MEC LIII Multipolar Principal,MEC LIII Complex Pyramidal
MEC LIII Multipolar Principal,MEC LIII Bipolar Complex Pyramidal
MEC LIII Multipolar Principal,LIII Pyramidal-Stellate
MEC LIII Multipolar Principal,LIII Stellate
MEC LIII Multipolar Principal,LIII-V Bipolar Pyramidal
MEC LIII Multipolar Principal,LIV-V Pyramidal-Horizontal
MEC LIII Multipolar Principal,LIV-VI Deep Multipolar Principal
MEC LIII Multipolar Principal,MEC LV Multipolar-Pyramidal
MEC LIII Multipolar Principal,LV Deep Pyramidal
MEC LIII Multipolar Principal,MEC LV Pyramidal
MEC LIII Multipolar Principal,MEC LV Superficial Pyramidal
MEC LIII Multipolar Principal,MEC LV-VI Pyramidal-Polymorphic
MEC LIII Multipolar Principal,MEC LIII Multipolar Interneuron
MEC LIII Multipolar Principal,MEC LIII Superficial Multipolar Interneuron
MEC LIII Multipolar Principal,LIII Pyramidal-Looking Interneuron
MEC LIII Multipolar Principal,MEC LIII Superficial Trilayered Interneuron
LIII Pyramidal,CA1 Pyramidal
LIII Pyramidal,Cajal-Retzius
LIII Pyramidal,CA1 Radiatum Giant
LIII Pyramidal,CA1 Axo-axonic
LIII Pyramidal,CA1 Basket
LIII Pyramidal,CA1 Basket CCK+
LIII Pyramidal,CA1 Interneuron Specific LMO-O
LIII Pyramidal,CA1 Interneuron Specific LM-R
LIII Pyramidal,CA1 Interneuron Specific LMR-R
LIII Pyramidal,CA1 Interneuron Specific O-Targeting QuadD
LIII Pyramidal,CA1 LMR
LIII Pyramidal,CA1 LMR Projecting
LIII Pyramidal,CA1 Neurogliaform
LIII Pyramidal,CA1 Neurogliaform Projecting
LIII Pyramidal,CA1 Oriens/Alveus
LIII Pyramidal,CA1 Perforant Path-Associated
LIII Pyramidal,CA1 Perforant Path-Associated QuadD
LIII Pyramidal,CA1 Quadrilaminar
LIII Pyramidal,Schaffer Collateral-Associated
LIII Pyramidal,CA1 Radial Trilaminar
LIII Pyramidal,SUB EC-Projecting Pyramidal
LIII Pyramidal,SUB CA1-Projecting Pyramidal
LIII Pyramidal,SUB Axo-axonic
LIII Pyramidal,MEC LII-III Pyramidal-Multiform
LIII Pyramidal,LII-III Pyramidal-Tripolar
LIII Pyramidal,LEC LIII Multipolar Principal
LIII Pyramidal,MEC LIII Multipolar Principal
LIII Pyramidal,LIII Pyramidal
LIII Pyramidal,LEC LIII Complex Pyramidal
LIII Pyramidal,MEC LIII Complex Pyramidal
LIII Pyramidal,MEC LIII Bipolar Complex Pyramidal
LIII Pyramidal,LIII Pyramidal-Stellate
LIII Pyramidal,LIII Stellate
LIII Pyramidal,LIII-V Bipolar Pyramidal
LIII Pyramidal,LIV-V Pyramidal-Horizontal
LIII Pyramidal,LIV-VI Deep Multipolar Principal
LIII Pyramidal,MEC LV Multipolar-Pyramidal
LIII Pyramidal,LV Deep Pyramidal
LIII Pyramidal,MEC LV Pyramidal
LIII Pyramidal,MEC LV Superficial Pyramidal
LIII Pyramidal,MEC LV-VI Pyramidal-Polymorphic
LIII Pyramidal,LEC LVI Multipolar-Pyramidal
LIII Pyramidal,LEC LIII Multipolar Interneuron
LIII Pyramidal,MEC LIII Multipolar Interneuron
LIII Pyramidal,MEC LIII Superficial Multipolar Interneuron
LIII Pyramidal,LIII Pyramidal-Looking Interneuron
LIII Pyramidal,MEC LIII Superficial Trilayered Interneuron
LEC LIII Complex Pyramidal,LI-II Multipolar-Pyramidal
LEC LIII Complex Pyramidal,LI-II Pyramidal-Fan
LEC LIII Complex Pyramidal,LII-III Pyramidal-Tripolar
LEC LIII Complex Pyramidal,LEC LIII Multipolar Principal
LEC LIII Complex Pyramidal,LIII Pyramidal
LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal
LEC LIII Complex Pyramidal,LIII Pyramidal-Stellate
LEC LIII Complex Pyramidal,LIII Stellate
LEC LIII Complex Pyramidal,LIII-V Bipolar Pyramidal
LEC LIII Complex Pyramidal,LIV-V Pyramidal-Horizontal
LEC LIII Complex Pyramidal,LIV-VI Deep Multipolar Principal
LEC LIII Complex Pyramidal,LV Deep Pyramidal
LEC LIII Complex Pyramidal,LEC LVI Multipolar-Pyramidal
LEC LIII Complex Pyramidal,LII Axo-axonic
LEC LIII Complex Pyramidal,LII Basket-Multipolar Interneuron
LEC LIII Complex Pyramidal,LEC LIII Multipolar Interneuron
LEC LIII Complex Pyramidal,LIII Pyramidal-Looking Interneuron
MEC LIII Complex Pyramidal,LI-II Multipolar-Pyramidal
MEC LIII Complex Pyramidal,LI-II Pyramidal-Fan
MEC LIII Complex Pyramidal,MEC LII-III Pyramidal-Multiform
MEC LIII Complex Pyramidal,MEC LII Oblique Pyramidal
MEC LIII Complex Pyramidal,MEC LII Stellate
MEC LIII Complex Pyramidal,LII-III Pyramidal-Tripolar
MEC LIII Complex Pyramidal,MEC LIII Multipolar Principal
MEC LIII Complex Pyramidal,LIII Pyramidal
MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal
MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal
MEC LIII Complex Pyramidal,LIII Pyramidal-Stellate
MEC LIII Complex Pyramidal,LIII Stellate
MEC LIII Complex Pyramidal,LIII-V Bipolar Pyramidal
MEC LIII Complex Pyramidal,LIV-V Pyramidal-Horizontal
MEC LIII Complex Pyramidal,LIV-VI Deep Multipolar Principal
MEC LIII Complex Pyramidal,MEC LV Multipolar-Pyramidal
MEC LIII Complex Pyramidal,LV Deep Pyramidal
MEC LIII Complex Pyramidal,MEC LV Pyramidal
MEC LIII Complex Pyramidal,MEC LV Superficial Pyramidal
MEC LIII Complex Pyramidal,LII Axo-axonic
MEC LIII Complex Pyramidal,MEC LII Basket
MEC LIII Complex Pyramidal,LII Basket-Multipolar Interneuron
MEC LIII Complex Pyramidal,MEC LIII Multipolar Interneuron
MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron
MEC LIII Complex Pyramidal,LIII Pyramidal-Looking Interneuron
MEC LIII Complex Pyramidal,MEC LIII Superficial Trilayered Interneuron
MEC LIII Bipolar Complex Pyramidal,LI-II Multipolar-Pyramidal
MEC LIII Bipolar Complex Pyramidal,LI-II Pyramidal-Fan
MEC LIII Bipolar Complex Pyramidal,MEC LII-III Pyramidal-Multiform
MEC LIII Bipolar Complex Pyramidal,MEC LII Oblique Pyramidal
MEC LIII Bipolar Complex Pyramidal,MEC LII Stellate
MEC LIII Bipolar Complex Pyramidal,LII-III Pyramidal-Tripolar
MEC LIII Bipolar Complex Pyramidal,MEC LIII Multipolar Principal
MEC LIII Bipolar Complex Pyramidal,LIII Pyramidal
MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal
MEC LIII Bipolar Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal
MEC LIII Bipolar Complex Pyramidal,LIII Pyramidal-Stellate
MEC LIII Bipolar Complex Pyramidal,LIII Stellate
MEC LIII Bipolar Complex Pyramidal,LIII-V Bipolar Pyramidal
MEC LIII Bipolar Complex Pyramidal,LIV-V Pyramidal-Horizontal
MEC LIII Bipolar Complex Pyramidal,LIV-VI Deep Multipolar Principal
MEC LIII Bipolar Complex Pyramidal,MEC LV Multipolar-Pyramidal
MEC LIII Bipolar Complex Pyramidal,LV Deep Pyramidal
MEC LIII Bipolar Complex Pyramidal,MEC LV Pyramidal
MEC LIII Bipolar Complex Pyramidal,MEC LV Superficial Pyramidal
MEC LIII Bipolar Complex Pyramidal,LII Axo-axonic
MEC LIII Bipolar Complex Pyramidal,MEC LII Basket
MEC LIII Bipolar Complex Pyramidal,LII Basket-Multipolar Interneuron
MEC LIII Bipolar Complex Pyramidal,MEC LIII Multipolar Interneuron
MEC LIII Bipolar Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron
MEC LIII Bipolar Complex Pyramidal,LIII Pyramidal-Looking Interneuron
MEC LIII Bipolar Complex Pyramidal,MEC LIII Superficial Trilayered Interneuron
LIII Pyramidal-Stellate,Mossy MOLDEN
LIII Pyramidal-Stellate,CA1 Pyramidal
LIII Pyramidal-Stellate,Cajal-Retzius
LIII Pyramidal-Stellate,CA1 Radiatum Giant
LIII Pyramidal-Stellate,CA1 Axo-axonic
LIII Pyramidal-Stellate,CA1 Basket
LIII Pyramidal-Stellate,CA1 Basket CCK+
LIII Pyramidal-Stellate,CA1 Interneuron Specific LMO-O
LIII Pyramidal-Stellate,CA1 Interneuron Specific LM-R
LIII Pyramidal-Stellate,CA1 Interneuron Specific LMR-R
LIII Pyramidal-Stellate,CA1 Interneuron Specific O-Targeting QuadD
LIII Pyramidal-Stellate,CA1 LMR
LIII Pyramidal-Stellate,CA1 LMR Projecting
LIII Pyramidal-Stellate,CA1 Neurogliaform
LIII Pyramidal-Stellate,CA1 Neurogliaform Projecting
LIII Pyramidal-Stellate,CA1 Oriens/Alveus
LIII Pyramidal-Stellate,CA1 Perforant Path-Associated
LIII Pyramidal-Stellate,CA1 Perforant Path-Associated QuadD
LIII Pyramidal-Stellate,CA1 Quadrilaminar
LIII Pyramidal-Stellate,Schaffer Collateral-Associated
LIII Pyramidal-Stellate,CA1 Radial Trilaminar
LIII Pyramidal-Stellate,SUB EC-Projecting Pyramidal
LIII Pyramidal-Stellate,SUB CA1-Projecting Pyramidal
LIII Pyramidal-Stellate,SUB Axo-axonic
LIII Pyramidal-Stellate,MEC LII-III Pyramidal-Multiform
LIII Pyramidal-Stellate,LII-III Pyramidal-Tripolar
LIII Pyramidal-Stellate,LEC LIII Multipolar Principal
LIII Pyramidal-Stellate,MEC LIII Multipolar Principal
LIII Pyramidal-Stellate,LIII Pyramidal
LIII Pyramidal-Stellate,LEC LIII Complex Pyramidal
LIII Pyramidal-Stellate,MEC LIII Complex Pyramidal
LIII Pyramidal-Stellate,MEC LIII Bipolar Complex Pyramidal
LIII Pyramidal-Stellate,LIII Pyramidal-Stellate
LIII Pyramidal-Stellate,LIII Stellate
LIII Pyramidal-Stellate,LIII-V Bipolar Pyramidal
LIII Pyramidal-Stellate,MEC LV Superficial Pyramidal
LIII Pyramidal-Stellate,LEC LIII Multipolar Interneuron
LIII Pyramidal-Stellate,MEC LIII Multipolar Interneuron
LIII Pyramidal-Stellate,MEC LIII Superficial Multipolar Interneuron
LIII Pyramidal-Stellate,LIII Pyramidal-Looking Interneuron
LIII Pyramidal-Stellate,MEC LIII Superficial Trilayered Interneuron
LIII Stellate,MEC LII-III Pyramidal-Multiform
LIII Stellate,LII-III Pyramidal-Tripolar
