evidence_ID,property_ID,source_id,target_id,original_id,fragment_id,Article_id,priority,conflict_note,unvetted,linking_quote,interpretation_notes,property_type_explanation,pc_flag,soma_pcl_flag,ax_de_pcl_flag,perisomatic_targeting_flag,supplemental_pmids
30160,NULL,2004,1002,1002427,30159,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30159,NULL,2004,1002,1002424,30158,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30509,NULL,2004,1002,2000041,30508,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30546,NULL,2004,4080,2000068,30545,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30551,NULL,2004,4080,2000069,30550,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30463,NULL,2004,4005,2000032,30462,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30323,NULL,2001,2046,1006032,30322,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30008,NULL,2028,2000,1000120,30007,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30318,NULL,2028,2000,1006022,30317,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30319,NULL,2028,2000,1006024,30318,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30320,NULL,2028,2000,1006026,30319,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30419,NULL,2028,2000,1007218,30418,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30421,NULL,2028,2000,1007220,30420,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30425,NULL,2028,2000,1007222,30424,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30321,NULL,2028,2004,1006028,30320,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30419,NULL,2028,2004,1007218,30418,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30421,NULL,2028,2004,1007220,30420,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30425,NULL,2028,2004,1007222,30424,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30418,NULL,2047,2000,1007214,30417,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30419,NULL,2047,2000,1007218,30418,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30421,NULL,2047,2000,1007220,30420,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
30425,NULL,2047,2000,1007222,30424,0,0,NULL,0,NULL,NULL,NULL,0,0,0,0,NULL
